7.129.64.51;00:50:56:63:43:3A;1115-1215;DC4PRHCIHST0309-INT-POLICY-GRP
7.129.72.52;00:50:56:6F:EF:06;1115-1215;DC4PRHCIHST0310-INT-POLICY-GRP
7.129.64.45;00:50:56:66:03:69;1115-1215;DC4PRHCIHST0303-INT-POLICY-GRP
7.129.68.45;00:50:56:67:CD:7C;1115-1215;DC4PRHCIHST0303-INT-POLICY-GRP
7.129.72.27;00:50:56:69:E0:CD;1102-1202;DC4PRHCIHST0201-INT-POLICY-GRP
7.129.72.41;00:50:56:6B:96:D3;1102-1202;DC4PRHCIHST0215-INT-POLICY-GRP
0.0.0.0;00:50:56:56:D3:35;1104-1204;L2-OUT-SHAR-INT-POLICY-GROUP
11.129.31.60;00:50:56:6E:69:5D;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
11.129.31.27;00:50:56:6D:06:13;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
11.129.223.3;00:50:56:6F:B5:63;1105-1205;L2-OUT-HWT1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5B:23:89;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
11.129.31.19;00:50:56:60:65:92;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
7.129.64.93;00:50:56:6A:7C:59;1116-1216;DC4PRHCIHST0600-INT-POLICY-GRP
7.129.68.93;00:50:56:65:DE:16;1116-1216;DC4PRHCIHST0600-INT-POLICY-GRP
0.0.0.0;00:50:56:64:98:AA;1116-1216;DC4PRHCIHST0600-INT-POLICY-GRP
7.129.64.94;00:50:56:6C:AF:0F;1116-1216;DC4PRHCIHST0601-INT-POLICY-GRP
7.129.72.94;00:50:56:6E:FD:B3;1116-1216;DC4PRHCIHST0601-INT-POLICY-GRP
7.129.68.94;00:50:56:64:38:AA;1116-1216;DC4PRHCIHST0601-INT-POLICY-GRP
7.129.64.95;00:50:56:60:8B:C5;1116-1216;DC4PRHCIHST0602-INT-POLICY-GRP
7.129.72.95;00:50:56:64:16:A4;1116-1216;DC4PRHCIHST0602-INT-POLICY-GRP
7.129.68.95;00:50:56:6A:22:8A;1116-1216;DC4PRHCIHST0602-INT-POLICY-GRP
7.129.64.96;00:50:56:6B:F9:22;1116-1216;DC4PRHCIHST0603-INT-POLICY-GRP
7.129.72.96;00:50:56:6B:FB:30;1116-1216;DC4PRHCIHST0603-INT-POLICY-GRP
7.129.72.104;00:50:56:60:E5:CD;1116-1216;DC4PRHCIHST0607-INT-POLICY-GRP
7.129.64.105;00:50:56:6C:D9:CE;1116-1216;DC4PRHCIHST0608-INT-POLICY-GRP
7.129.72.105;00:50:56:65:3E:DE;1116-1216;DC4PRHCIHST0608-INT-POLICY-GRP
7.129.68.105;00:50:56:62:F1:73;1116-1216;DC4PRHCIHST0608-INT-POLICY-GRP
7.129.68.106;00:50:56:68:3B:46;1116-1216;DC4PRHCIHST0609-INT-POLICY-GRP
7.129.72.112;00:50:56:63:1F:1F;1116-1216;DC4PRHCIHST0615-INT-POLICY-GRP
7.129.68.112;00:50:56:67:5C:82;1116-1216;DC4PRHCIHST0615-INT-POLICY-GRP
7.129.64.77;00:50:56:64:8E:39;1115-1215;DC4PRHCIHST0415-INT-POLICY-GRP
7.129.72.77;00:50:56:67:BF:5E;1115-1215;DC4PRHCIHST0415-INT-POLICY-GRP
7.129.68.77;00:50:56:63:85:D0;1115-1215;DC4PRHCIHST0415-INT-POLICY-GRP
7.129.64.49;00:50:56:63:0C:0F;1115-1215;DC4PRHCIHST0307-INT-POLICY-GRP
7.129.64.57;00:50:56:61:76:B5;1115-1215;DC4PRHCIHST0315-INT-POLICY-GRP
7.129.72.57;00:50:56:6E:0E:52;1115-1215;DC4PRHCIHST0315-INT-POLICY-GRP
7.129.68.57;00:50:56:61:85:08;1115-1215;DC4PRHCIHST0315-INT-POLICY-GRP
7.129.64.52;00:50:56:61:54:39;1115-1215;DC4PRHCIHST0310-INT-POLICY-GRP
7.129.64.54;00:50:56:63:E4:B3;1115-1215;DC4PRHCIHST0312-INT-POLICY-GRP
11.128.63.28;00:50:56:6A:12:38;1105-1205;L2-OUT-HBE2-INT-POLICY-GROUP
11.129.223.9;00:50:56:60:47:F5;1105-1205;L2-OUT-HWT1-INT-POLICY-GROUP
7.129.64.44;00:50:56:6D:DC:F3;1115-1215;DC4PRHCIHST0302-INT-POLICY-GRP
7.129.68.44;00:50:56:6B:9C:A5;1115-1215;DC4PRHCIHST0302-INT-POLICY-GRP
7.129.72.44;00:50:56:64:A1:71;1115-1215;DC4PRHCIHST0302-INT-POLICY-GRP
7.129.64.48;00:50:56:67:B6:29;1115-1215;DC4PRHCIHST0306-INT-POLICY-GRP
7.129.68.48;00:50:56:64:F2:51;1115-1215;DC4PRHCIHST0306-INT-POLICY-GRP
7.129.72.48;00:50:56:63:C5:8D;1115-1215;DC4PRHCIHST0306-INT-POLICY-GRP
7.129.68.30;00:50:56:68:C9:B3;1102-1202;DC4PRHCIHST0204-INT-POLICY-GRP
7.129.68.41;00:50:56:6F:1D:CE;1102-1202;DC4PRHCIHST0215-INT-POLICY-GRP
7.129.72.55;00:50:56:68:31:1F;1115-1215;DC4PRHCIHST0313-INT-POLICY-GRP
7.129.72.56;00:50:56:65:75:46;1115-1215;DC4PRHCIHST0314-INT-POLICY-GRP
7.129.72.51;00:50:56:65:D6:4D;1115-1215;DC4PRHCIHST0309-INT-POLICY-GRP
7.129.68.52;00:50:56:68:37:E3;1115-1215;DC4PRHCIHST0310-INT-POLICY-GRP
7.129.64.46;00:50:56:64:D8:41;1115-1215;DC4PRHCIHST0304-INT-POLICY-GRP
7.129.72.46;00:50:56:6D:F2:5E;1115-1215;DC4PRHCIHST0304-INT-POLICY-GRP
7.129.68.46;00:50:56:61:E0:B2;1115-1215;DC4PRHCIHST0304-INT-POLICY-GRP
7.129.64.47;00:50:56:6A:9B:FD;1115-1215;DC4PRHCIHST0305-INT-POLICY-GRP
7.129.68.47;00:50:56:64:99:14;1115-1215;DC4PRHCIHST0305-INT-POLICY-GRP
7.129.72.47;00:50:56:61:F8:AE;1115-1215;DC4PRHCIHST0305-INT-POLICY-GRP
7.129.64.27;00:50:56:6D:E3:46;1102-1202;DC4PRHCIHST0201-INT-POLICY-GRP
7.129.68.27;00:50:56:61:63:39;1102-1202;DC4PRHCIHST0201-INT-POLICY-GRP
7.129.72.31;00:50:56:6D:55:48;1102-1202;DC4PRHCIHST0205-INT-POLICY-GRP
7.129.64.38;00:50:56:6E:6C:6F;1102-1202;DC4PRHCIHST0212-INT-POLICY-GRP
7.129.72.38;00:50:56:68:16:97;1102-1202;DC4PRHCIHST0212-INT-POLICY-GRP
7.129.68.38;00:50:56:66:F7:C6;1102-1202;DC4PRHCIHST0212-INT-POLICY-GRP
7.129.64.35;00:50:56:6D:3A:1E;1102-1202;DC4PRHCIHST0209-INT-POLICY-GRP
7.129.72.35;00:50:56:6E:81:18;1102-1202;DC4PRHCIHST0209-INT-POLICY-GRP
7.129.68.35;00:50:56:6A:24:04;1102-1202;DC4PRHCIHST0209-INT-POLICY-GRP
7.129.72.49;00:50:56:6B:6F:88;1115-1215;DC4PRHCIHST0307-INT-POLICY-GRP
7.129.68.49;00:50:56:68:F2:7D;1115-1215;DC4PRHCIHST0307-INT-POLICY-GRP
7.129.64.50;00:50:56:6F:0C:50;1115-1215;DC4PRHCIHST0308-INT-POLICY-GRP
7.129.68.50;00:50:56:6A:06:C4;1115-1215;DC4PRHCIHST0308-INT-POLICY-GRP
7.129.72.50;00:50:56:6D:A5:42;1115-1215;DC4PRHCIHST0308-INT-POLICY-GRP
7.129.64.31;00:50:56:64:AF:58;1102-1202;DC4PRHCIHST0205-INT-POLICY-GRP
7.129.68.31;00:50:56:6C:D2:65;1102-1202;DC4PRHCIHST0205-INT-POLICY-GRP
7.129.68.54;00:50:56:6C:18:1C;1115-1215;DC4PRHCIHST0312-INT-POLICY-GRP
7.129.68.51;00:50:56:66:F7:4E;1115-1215;DC4PRHCIHST0309-INT-POLICY-GRP
7.129.68.55;00:50:56:67:5D:1A;1115-1215;DC4PRHCIHST0313-INT-POLICY-GRP
7.129.68.56;00:50:56:6D:AD:F2;1115-1215;DC4PRHCIHST0314-INT-POLICY-GRP
7.129.68.53;00:50:56:6C:6C:2F;1115-1215;DC4PRHCIHST0311-INT-POLICY-GRP
11.128.31.41;00:50:56:6A:6D:6F;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
7.129.64.29;00:50:56:60:EE:6C;1102-1202;DC4PRHCIHST0203-INT-POLICY-GRP
7.129.72.29;00:50:56:6E:32:19;1102-1202;DC4PRHCIHST0203-INT-POLICY-GRP
7.129.68.29;00:50:56:61:34:CB;1102-1202;DC4PRHCIHST0203-INT-POLICY-GRP
7.129.64.28;00:50:56:63:43:FA;1102-1202;DC4PRHCIHST0202-INT-POLICY-GRP
7.129.72.28;00:50:56:6F:58:60;1102-1202;DC4PRHCIHST0202-INT-POLICY-GRP
7.129.68.28;00:50:56:64:D1:7D;1102-1202;DC4PRHCIHST0202-INT-POLICY-GRP
7.129.72.54;00:50:56:65:6E:D0;1115-1215;DC4PRHCIHST0312-INT-POLICY-GRP
7.129.72.53;00:50:56:67:14:23;1115-1215;DC4PRHCIHST0311-INT-POLICY-GRP
11.128.31.37;00:50:56:65:DE:8B;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
7.129.64.32;00:50:56:64:B6:D9;1102-1202;DC4PRHCIHST0206-INT-POLICY-GRP
7.129.72.32;00:50:56:6A:96:6D;1102-1202;DC4PRHCIHST0206-INT-POLICY-GRP
7.129.68.32;00:50:56:6B:F5:D5;1102-1202;DC4PRHCIHST0206-INT-POLICY-GRP
7.129.64.33;00:50:56:64:94:3E;1102-1202;DC4PRHCIHST0207-INT-POLICY-GRP
7.129.72.33;00:50:56:60:32:C7;1102-1202;DC4PRHCIHST0207-INT-POLICY-GRP
7.129.68.33;00:50:56:6D:73:66;1102-1202;DC4PRHCIHST0207-INT-POLICY-GRP
7.129.64.34;00:50:56:6B:A1:A7;1102-1202;DC4PRHCIHST0208-INT-POLICY-GRP
7.129.72.34;00:50:56:67:B9:98;1102-1202;DC4PRHCIHST0208-INT-POLICY-GRP
7.129.68.34;00:50:56:61:A9:30;1102-1202;DC4PRHCIHST0208-INT-POLICY-GRP
11.128.31.30;00:50:56:6A:9E:66;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
11.128.95.40;00:50:56:6F:41:2D;1105-1205;L2-OUT-HBE3-INT-POLICY-GROUP
0.0.0.0;00:50:56:51:99:C4;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
11.128.255.6;00:50:56:6C:B5:37;1104-1204;L2-OUT-SHAR-INT-POLICY-GROUP
0.0.0.0;00:50:56:56:D0:8C;1105-1205;L2-OUT-HBE2-INT-POLICY-GROUP
0.0.0.0;00:50:56:51:99:90;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
11.128.31.35;00:50:56:6A:9B:13;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
11.128.255.18;00:50:56:61:C2:8B;1104-1204;L2-OUT-SHAR-INT-POLICY-GROUP
0.0.0.0;00:50:56:5E:34:E9;1104-1204;L2-OUT-SHAR-INT-POLICY-GROUP
11.128.95.5;00:50:56:6A:BD:E8;1105-1205;L2-OUT-HBE3-INT-POLICY-GROUP
0.0.0.0;00:50:56:59:8A:EC;1105-1205;L2-OUT-HBE3-INT-POLICY-GROUP
11.128.63.34;00:50:56:6D:D4:F9;1105-1205;L2-OUT-HBE2-INT-POLICY-GROUP
11.129.31.58;00:50:56:61:7C:F9;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5B:23:84;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5D:56:E5;1105-1205;L2-OUT-HBE2-INT-POLICY-GROUP
